степен,застроена_площ_m2,в_кадастъра,кадастрален_номер,имот,разрешение_за_строеж,брой_разрешения,последно_разрешение,акт16,УПИ,квартал_по_регулация,етажи_по_кадастър,жилища_по_кадастър,код_зона,устройствен_режим,район,квартал,източник,lon,lat
висока,4434.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.454832,42.611177
висока,4097.0,не,,68134.2816.2370,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Връбница,ж.к. Обеля 2,картирана в OSM,23.27943,42.742099
висока,3590.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.453102,42.612086
висока,2781.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.453251,42.611773
висока,2557.0,не,,68134.109.14,,,,,,,,,Зп,зона на градски паркове и градини,Средец,Борисова градина - север,картирана в OSM,23.333264,42.686309
висока,1812.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.454513,42.611547
висока,1527.0,не,,68134.6722.260,,,,,,,,,Зп,зона на градски паркове и градини,Панчарево,Хидропарк Искър - част Герман,картирана в OSM,23.411019,42.616976
висока,1428.0,не,,22304.7939.20,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,"с. Д. Богров, м. Бресто",картирана в OSM,23.501911,42.7096
висока,1325.0,не,,11394.1824.76,,,,,,,,,Ссб,земеделска зона без право на застрояване,Витоша,"с. Владая, м. Краище",картирана в OSM,23.183087,42.626966
висока,1073.0,не,,68134.800.5353,,,,,,,,,Зп,зона на градски паркове и градини,Изгрев,м. Гара Пионер,картирана в OSM,23.342311,42.666827
висока,1003.0,не,,68134.1897.751,,,,,,,,,Зп,зона на градски паркове и градини,Витоша,в.з. Горна Баня - Домуз дере,само от сателит,23.232383,42.664757
висока,990.0,не,,68134.4360.90,,,,,,,,,Тго,терени на локални градини и озеленяване,Люлин,ж.к. Люлин - център,картирана в OSM,23.251986,42.716214
висока,965.0,не,,80409.5621.36,,,,,,,,,Зп,зона на градски паркове и градини,Нови Искър,Хидропарк Искър - част Враждебна - Кубратово,само от сателит,23.418761,42.725047
висока,949.0,не,,68134.6722.256,,,,,,,,,Зп,зона на градски паркове и градини,Панчарево,Хидропарк Искър - част Герман,картирана в OSM,23.411425,42.61701
висока,862.0,не,,68134.1100.953,,,,,,,,,Зп,зона на градски паркове и градини,Красна поляна,Западен парк - разш. Малка Коньовица 1,само от сателит,23.231661,42.703863
висока,830.0,не,,68134.4360.692,,,,,,,,,Тго,терени на локални градини и озеленяване,Люлин,ж.к. Люлин - център,картирана в OSM,23.25383,42.716151
висока,816.0,не,,68134.2095.406,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.247903,42.625177
